203.205.179.181,80,10.10.0.100,41757
203.205.179.181,80,10.10.0.100,41847
203.205.179.205,80,10.10.0.100,45320
216.58.214.228,443,10.10.0.100,49018
172.217.19.106,443,10.10.0.100,45356
68.232.34.217,443,10.10.0.100,41223
172.217.20.3,80,10.10.0.100,38060
216.58.214.195,80,10.10.0.100,37671
216.58.214.228,443,10.10.0.100,49044
35.244.144.168,443,10.10.0.100,47219
143.204.90.242,443,10.10.0.100,45729
149.154.167.92,443,10.10.0.100,44884
216.58.214.228,443,10.10.0.100,49001
172.217.20.3,80,10.10.0.100,38103
216.58.214.195,80,10.10.0.100,37628
151.101.1.140,443,10.10.0.100,39698
216.58.214.206,80,10.10.0.100,37662
172.217.20.3,80,10.10.0.100,38076
203.205.179.182,443,10.10.0.100,46596
216.58.214.195,80,10.10.0.100,37643
216.58.214.206,80,10.10.0.100,37649
216.58.214.206,80,10.10.0.100,37682
13.224.194.9,443,10.10.0.100,45346
216.58.214.202,443,10.10.0.100,40690
172.217.18.69,443,10.10.0.100,44228
35.244.144.168,443,10.10.0.100,47214
143.204.101.44,443,10.10.0.100,37406
216.58.214.228,443,10.10.0.100,49103
172.217.20.3,80,10.10.0.100,38088
216.58.214.202,443,10.10.0.100,40704
172.217.19.106,443,10.10.0.100,45368
216.58.214.228,443,10.10.0.100,49030
149.154.167.92,443,10.10.0.100,44917
216.58.214.206,80,10.10.0.100,37638
13.224.194.9,443,10.10.0.100,45345
172.217.18.74,443,10.10.0.100,45746
8.8.8.8,53,10.10.0.100,28965
216.58.214.195,80,10.10.0.100,37658
95.100.197.107,443,10.10.0.100,46356
104.244.42.2,443,10.10.0.100,49863
104.244.42.130,443,10.10.0.100,46408
104.244.42.2,443,10.10.0.100,49880
192.229.220.133,443,10.10.0.100,45798
192.229.233.50,443,10.10.0.100,43423
74.125.140.188,5228,10.10.0.100,40763
203.205.179.203,443,10.10.0.100,42380
64.233.166.188,5228,10.10.0.100,48263
149.154.167.92,443,10.10.0.100,45184
172.217.20.14,443,10.10.0.100,44477
74.125.140.188,5228,10.10.0.100,40763
172.217.16.110,443,10.10.0.100,48363
8.8.8.8,53,10.10.0.100,18418
203.205.179.182,443,10.10.0.100,46653
203.205.179.182,8080,10.10.0.100,41833
203.205.179.182,8080,10.10.0.100,41839
203.205.179.182,8080,10.10.0.100,41845
203.205.179.182,80,10.10.0.100,44379
203.205.179.182,80,10.10.0.100,44402
104.244.42.197,443,10.10.0.100,42857
68.232.34.217,443,10.10.0.100,41682
68.232.34.217,443,10.10.0.100,41655
31.13.64.53,5222,10.10.0.100,43344
93.184.220.70,443,10.10.0.100,41328
68.232.34.217,443,10.10.0.100,41709
192.229.233.50,443,10.10.0.100,43568
104.244.42.197,443,10.10.0.100,42868
104.244.42.197,443,10.10.0.100,42900
68.232.34.217,443,10.10.0.100,41671
68.232.34.217,443,10.10.0.100,41691
93.184.220.70,443,10.10.0.100,41313
104.244.42.197,443,10.10.0.100,42884
216.58.214.195,80,10.10.0.100,44759
